"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1246","count in stock item","chromium","2026-09-10","passed","2026-09-10","","Filter.spec.ts","",""
"","6779","open pdf","chromium","2026-09-10","passed","2026-09-10","","download.spec.ts","",""
"","776","multiple condition","chromium","2026-09-10","failed","2026-09-10","","Filter.spec.ts","",""
"","820","Element validation bye testid","chromium","2026-09-10","passed","2026-09-10","","Filter.spec.ts","",""
"","1682","download file","chromium","2026-09-10","passed","2026-09-10","","download.spec.ts","",""
"","2643","Checkbox validation","chromium","2026-09-19","passed","2026-09-19","","checkbox.spec.ts","",""
"","4953","verify add to acrt button for product 2","chromium","2026-09-10","passed","2026-09-10","","Filter.spec.ts","",""
"","763","Print all fruits name","chromium","2026-09-10","passed","2026-09-10","","Filter.spec.ts","",""
"","1076","Chainnig of locator","chromium","2026-09-10","passed","2026-09-10","","Filter.spec.ts","",""
"","938","count number out of stock","chromium","2026-09-10","passed","2026-09-10","","Filter.spec.ts","",""
"","2642","shadow dom handle ulr launch","chromium","2026-09-10","passed","2026-09-10","shadow dom handeling","shadow.spec.ts","",""
"","5976","multiple element handeling","chromium","2026-09-10","failed","2026-09-10","","Filter.spec.ts","",""
"","6024","count item not having out of stock","chromium","2026-09-10","failed","2026-09-10","","Filter.spec.ts","",""
"","6909","handle shadow dom on that page","chromium","2026-09-10","failed","2026-09-10","shadow dom handeling","shadow.spec.ts","",""
